Institution,State,No. of visas revoked,Source link
Graceland University,Iowa,1,Email to <i> Inside Higher Ed </i>
Iowa State University,Iowa,2,"<a href=""https://iowastatedaily.com/317618/news/at-least-two-isu-student-visas-revoked-university-declines-to-say-how-many/"">Click here</a><br>"
Mount Mercy University,Iowa,2,Email to <i> Inside Higher Ed </i>
University of Iowa,Iowa,5,"<a  href=""https://www.kcrg.com/2025/04/15/five-university-iowa-international-students-have-visas-revoked/"">Click  here</a>"
University of Northern Iowa,Iowa,2,"<a href=""https://www.northerniowan.com/23952/showcase/two-international-students-face-visa-flagging/"">Click here</a>"
Emporia State University,Kansas,2,"<a  href=""https://www.esubulletin.com/news/oie-emergency-meeting-addresses-record-termination-claims-two-international-students-have-been-affected/article_52104b52-a49f-47b3-9a6f-8ce514c88de7.html"">Click  here</a><br>"
University of Kansas,Kansas,“small number”,Email to <i> Inside Higher Ed </i>
Campbellsville University,Kentucky,unknown,"<a  href=""https://www.insidehighered.com/news/global/international-students-us/2025/04/08/trump-admin-broadens-scope-student-visa"">Click  here</a>"
Murray State University,Kentucky,1,"<a  href=""https://www.kfvs12.com/2025/04/17/murray-state-student-has-visa-revoked-university-says/"">Click  here</a><br>"
University of Kentucky,Kentucky,unknown,"<a  href=""https://www.kentucky.com/news/local/education/article303525201.html"">Click  here</a>"
University of Louisville,Kentucky,3,"<a href=""https://www.whas11.com/article/news/local/university-of-louisville-grads-work-visas-revoked-homeland-security/417-4837d3ab-3f87-457c-bbcd-fe4268bbb0bc"">Click here</a><br>"
Southern University,Louisiana,7,"<a  href=""https://lailluminator.com/briefs/trump-administration-terminates-14-student-visas-in-louisiana/"">Click  here</a>"
"Southern University, New  Orleans",Louisiana,2,"<a  href=""https://lailluminator.com/briefs/trump-administration-terminates-14-student-visas-in-louisiana/"">Click  here</a>"
Tulane University,Louisiana,2,"<a  href=""https://lailluminator.com/briefs/trump-administration-terminates-14-student-visas-in-louisiana/"">Click  here</a>"
"University of Louisiana,  Lafayette",Louisiana,3,"<a  href=""https://www.klfy.com/local/lafayette-parish/three-ul-students-visas-have-been-revoked/"">Click  here</a><br>"
University of New Orleans,Louisiana,2,"<a  href=""https://lailluminator.com/briefs/trump-administration-terminates-14-student-visas-in-louisiana/"">Click  here</a>"
Roux Institute at Northeastern University,Maine,1,"<a href=""https://www.newscentermaine.com/article/news/local/maine-immigration/roux-institute-northeastern-university-graduate-student-visa-aclu-international-sevis/97-1dd4e636-8197-4d3b-a72e-531448b3bde7"">Click here</a>"
Johns Hopkins University,Maryland,37,"<a  href=""https://www.thebaltimorebanner.com/education/higher-education/johns-hopkins-university-37-visas-revoked-EZXNYMCMU5HPZIIMWGCYL5UGUY/"">Click  here</a>"
University  of Maryland Baltimore County,Maryland,4,"<a  href=""https://www.thebaltimorebanner.com/education/higher-education/umbc-university-of-maryland-student-visas-TE5FIN436VDBHL7Y3CBJYASUFM/"">Click  here</a>"
"University  of Maryland, College Park",Maryland,unknown,"<a  href=""https://www.thebaltimorebanner.com/education/higher-education/umbc-university-of-maryland-student-visas-TE5FIN436VDBHL7Y3CBJYASUFM/"">Click  here</a>"
Babson College,Massachusetts,unknown,"<a href=""Email to Inside Higher Ed"">Click here</a>"
Bentley University,Massachusetts,5,"<a href=""https://www.bostonglobe.com/2025/04/16/metro/student-visa-revoked-new-england-schools/"">Click here</a><br>"
